Cashew nut,1.1265
Cassava and Other Roots,0.948
Cauliflower,0.628
"Causses blue cheese, from cow's milk",5.462
Celery,0.18
"Chabichou cheese, from goat's milk",6.665
"Chaource cheese, from cow's milk",5.462
"Cheddar cheese, from cow's milk",6.229
Cheese,8.86
"Cheese, buche, from goat's milk",6.665
"Cheese, dry, from goat's milk",8.644
"Cheese, from goat's milk",6.665
"Cheese, semi-dry, from goat's milk",8.644
Cherries,0.48
Chestnuts,0.43
"Chevrot cheese, from goat's milk",6.665
Chick peas,0.67
Chicken,5.4468125
Chips - potato,2.7995
"Chopped Tomatoes, Aluminium Tin",4.614
Citrus Fruit,0.299
Cocoa (Chocolate),33.669
Coconut milk,0.5345
"Coconut Yoghurt, PP Tub with LDPE Lid",0.948
Cod,5.995666667
Cod liver oil,1.535
Coffee,16.94833333
Combined oil (blended vegetable oils),2.416
"Common anchovy, raw",2.123
"Common dab, raw",10.932
"Common dentex, raw",10.932
"Common sole, raw",6.751
"Comt‚ cheese, from cow's milk",6.229
"Conger, raw",10.932
"Cornflour, LDPE Bag",1.641
"Corsica soft ripened cheese, from ewe's milk",5.947
Cottonseed oil,2.245
"Coulommiers cheese, from cow's milk",5.462
Cowpeas,0.48
"Cows Cheese, PE Tray with PE Film",16.365
Cranberries/blueberries,0.92
"Cranberry, raw",1.018
Cream,4.034
"Crevalle jack, raw",4.209
Crisps - potato,4.319
"Crottin de Chavignol cheese, from goat's milk",6.665
Crustaceans (farmed),18.681
"Cured ham, raw",12.612
Currants and gooseberries,0.84
"Custard, Aluminium Tin",3.823
Dark chocolate bar,18.55
Dates,0.32
"Dauphine potato, frozen, raw",2.437
Diamond fish,8.33
"Digestive Biscuits, PP Wrapping",2.233
Dried peas ,1.902
"Dried shelled beans (pulses cooked: kidney, broad beans)",1.497
"Dry-cured ham, fat and rind removed",15.765
"Duchesse potato, frozen, raw",2.11
Duck,3.09
"Duck egg, raw",2.283
"Durum wheat, whole, raw",0.842
"Edam cheese, from cow's milk",6.229
Eel,3.88
Eggplants (aubergines),1.35
Eggs,3.222166667
"Emmental cheese, from cow's milk",6.229
"European bass, raw",11.901
"European hake, raw",6.824
"European perch, raw",4.828
"European pilchard or sardine, raw",1.905
"European plaice, raw",10.932
"European sprat, raw",1.905
"Falafels, PP Tub",1.204
Fennel,0.48
Feta cheese,5.7045
Figs,0.43
"Fish Fingers, Cardboard Box with PE Wax",6.189
"Fontina cheese, from cow's milk",5.462
"Fourme d'Ambert cheese, from cow's milk",5.462
Fourme de Montbrison cheese,5.462
Fresh aubergines (heated greenhouse production),2.8905
Fresh Beetroot,-0.7365
Fresh broccoli (field production),0.614
Fresh brussels sprouts,0.548
Fresh cabbage,0.38
Fresh celery,0.492
Fresh courgette,0.4595
Fresh cucumber,1.8575
Fresh green beans,0.179
Fresh green peas shelled,0.666
Fresh green peas unshelled (consumed raw),0.283
Fresh onions ,0.721
Fresh Pepper,1.7525
Fresh spinach,0.3845
Fresh sweet corn on the cob,0.5755
Fresh winter squash,0.54
"Freshwater bream, raw",11.901
"Frik (crushed immature durum wheat), raw",1.292
Frozen - green asparagus,2.0075
Frozen broccoli,0.9375
Frozen brussels sprouts,0.874
Frozen carrots,1.43
Frozen green beans,0.5605
Frozen onions,1.219
"Frozen peas, shelled",1.4055
"Frozen shelled beans (pulses cooked: kidney, broad beans)",1.0565
Frozen spinach,0.6335
Frozen sweet corn,1.328
"Fruit soft drink, carbonated",0.3978
Frying oil,2.007
"Garfish, raw",1.905
Garlic,0.4615
"Gex blue cheese, or Jura blue cheese or Septmoncel blue cheese, from cow's milk",5.462
Gherkins,1.695
"Gilthead seabream, raw, farmed",10.5035
Ginger,0.88
Gingerbread,1.296
"Gizzard, chicken, raw",1.529
Goat cheese from raw milk,6.665
Goat milk,1.616
"Golden redfish, raw",10.932
"Goose egg, raw",2.283
"Gooseberry, raw",1.402
"Gorgonzola cheese, from cow's milk",5.401
"Gouda cheese, from cow's milk",6.229
"Grana Padano cheese, from cow's milk",6.229
"Granola, LDPE Bag",1.64
Grapefruit and pomelo,0.51
Grapes,0.41
Grapeseed oil,2.007
"Green Pesto, Glass Jar with Aluminium Lid",3.584
"Greenland halibut, raw",10.932
"Grenadier, from any fishing spot, raw",10.932
Ground nuts,0.99
Groundnuts,2.714
"Grouper, raw",4.209
"Gruyere cheese, from cow's milk",6.229
Guavas,0.28
"Haddock, raw",10.932
Hake,8.98
"Ham, PE Tray with PE Film",11.114
"Hard cheese, emmental-type cheese, reduced fat",6.229
Hazelnut oil,4.684
Hazelnuts,0.97
"Heart, beef, raw",26.773
"Heart, chicken, raw",1.529
"Heart, lamb, raw",25.892
"Heart, pork, raw",1.862
Herring,1.17
Herring oil,1.535
"Horse mackerel, raw",2.231
"Ice Cream, PP Tub with LDPE Lid",5.031
"John dory, raw",10.932
Kangaroo,4.1
Khorasan wheat,0.313
"Kidney, beef, raw",26.773
"Kidney, lamb, raw",25.892
"Kidney, pork, raw",1.862
Kiwi fruit,0.5725
Lamb,40.06109091
Lamb UK British,25.84
"Langres cheese, from cow's milk",5.462
"Largehead hairtail, raw",10.932
"Lemon Juice, PET Bottle with PP Lid",1.797
"Lemon sole, raw",10.932
"Lemon zest, raw",0.603
"Lemon, pulp, raw",0.603
Lemons,0.3595
Lentils,1.2945
Lettuce,1.085333333
"Lime, pulp, raw",0.398
Limes,0.3595
Ling common,8.691
Linseed oil,2.896
"Livarot cheese, from cow's milk",5.462
"Liver, chicken, raw",1.529
"Liver, lamb, raw",25.892
"Liver, pork, raw",1.862
Lobster,21.74
Maasdam-type cheese,6.229
Mackerel,2.1155
Maize (Meal),1.451
Maize/corn,0.63
Maize/corn oil,3.296
Mandarin,0.425
"Mango Chutney, Glass Jar with Aluminium Lid",2.784
"Margarine, PP Tub with LDPE Lid",0.743
"Maroilles ""fermier"" cheese",5.462
"Maroilles ""laitier"" cheese",5.462
"Maroilles cheese, from cow's milk",5.462
Marsala wine,1.109
"Mayonnaise, Glass Jar with Aluminium Lid",2.941
"Meat-Free Burgers, Cardboard Box with PE Wax",4.212
"Mediterranean bass, raw",10.5035
Megrim,12.541
Melons,1.125
Milk,1.7035
Milk chocolate bar,17.556
"Milk chocolate bar, filled with praline",17.556
"Milk chocolate bar, with dried fruits (nuts, almonds, raisins, praline)",17.556
"Milk chocolate bar, with puffed/popped cereals",17.556
"Milk chocolate bar, without sugar, with sweeteners",17.556
"Milk chocolate, filled",17.556
"Milk Chocolate, PP Wrapping",2.825
"Mimolette cheese, extra old, from cow's milk",6.229
Mixed fruits juice,0.767
"Morbier cheese, from cow's milk",6.229
"Mozzarella cheese, from cow's milk",5.462
"Mullet, raw",10.932
"Munster cheese, from cow's milk",5.462
Mushrooms,0.27
Mussels,7.54
Mutton & Goat Meat,33.523
"Neufchƒtel cheese, from cow's milk",5.462
"New potato, raw",0.413
"Nile perch, raw",5.669
"Nursehound or lesser spotted dogfish, raw",10.932
Nuts,0.398
"Oat-based drink, plain",0.33
Oatmeal,2.114
Oats,0.86
"Octopus, squid, cuttlefish",8.07
Olive oil,3.736333333
Olives,1.9175
Onion,0.2475
Orange,0.2965
Orange juice,1.043
"Orange, pulp, raw",0.662
"Ossau-Iraty cheese, from ewe's milk",8.149
Other Fruit,0.74
Other Vegetables,0.445
"P‚lardon cheese, from goat's milk",6.665
Palm oil,5.953
Panini bread,1.079
Parma dry-cured ham,15.765
"Parmesan cheese, from cow's milk",6.229
Peaches and Nectarines,0.54
Peanut oil,4.684
Peanuts,0.87
Pears,0.33
Peas,0.784333333
Pepers: passive and heated greenhouse,1.589
Pickled Beetroot,3.4165
Pickled cabbage,2.2105
Pickled cucumber/gherkins,3.7545
Pickled onions ,2.3725
Pickled Pepper,3.5095
"Picodon cheese, from goat's milk",6.665
Pig Meat,10.369
Pilchard,1.1
Pineapples,0.484
Pistachios,1.53
Pita bread,0.858
"Plantain banana, raw",0.659
"Plant-based Sausages, Cardboard Box with PE Wax",1.972
"poisses cheese, from cow's milk",5.462
"Pollack, raw",10.932
Pomfret,6.63
"Pond smelt, raw",1.905
"Pont l'Evˆque cheese, from cow's milk",5.462
Porbeagle,11.44
Pork,6.503338236
Potatoes,0.497916667
"Pouligny Saint-Pierre cheese, from goat's milk",6.665
Poultry Meat,8.17
"Pouting, raw",10.932
"Prawns, shrimp",15.65033333
Processed broccoli,0.626
Processed cabbage,0.391
Processed carrots,1.0115
Processed cheese,5.462
Processed onions,0.793
Processed sweet corn,1.0675
"Provolone cheese, from cow's milk",6.229
Pumpkins,0.2365
"Pyrenees cheese, from ewe's milk",8.149
Quinces,0.31
Quinoa,1.15
Rabbit,4.7
"Raclette cheese, from cow's milk",6.229
"Rainbow trout, raw, farmed",5.669
Rape and mustard seed,2.09
Rapeseed (Oil),2.6175
Raspberries,0.978333333
"Ray, raw",10.932
"Reblochon cheese, from cow's milk",5.462
"Red berries (raspberries, strawberries, red currants, black currants) , raw",0.861
"Red gurnard, raw",6.751
Rhombus,8.41
Rice,2.696333333
"Rice-based drink, plain",1.042
"Rocamadour cheese, from goat's milk",6.665
Rock fish,6.94
Rockmelon/cantelope,0.25
Root Vegetables,0.326
"Roquefort cheese, from ewe's milk",5.887
"Roundnose grenadier, raw",10.932
Rye,0.41
"Rye bread, and wheat",0.844
"Sainte Maure cheese, from goat's milk",6.665
"Saint-Felicien cheese, from cow's milk",5.462
"Saint-Marcellin cheese, from cow's milk",5.462
"Saint-Nectaire cheese, from cow's milk",6.229
"Saint-Paulin cheese, from cow's milk (semi-hard cheese)",6.229
"Saithe, frozen, raw",4.293
"Saithe, raw",5.91
Sake or rice wine,1.14
"Salami, PE Tray with PE Film",13.832
"Salema, raw",6.751
"Salers cheese, from cow's milk",6.229
Salmon,4.981
Salmon oil,1.535
"Salmon trout, raw",5.669
Sardine oil,1.535
Sea bass,3.55
"Sea trout, raw",5.669
"Selles-sur-Cher cheese, from goat's milk",6.665
"Semi-hard cheese, from ewe's milk",8.149
Serrano dry-cured ham,15.765
Sesame oil,2.007
Sesame seed,0.88
"Shallow-water Cape hake, raw",6.809
Shark mako,11.5
"Shark, raw",10.932
"Sheep milk, whole",2.405
"Shrimp or prawn, raw",6.494
"Smoked lardoons, raw",5.622
"Snapper, raw",4.209
"Soft drink, carbonated, pop",0.538
"Soft ripened cheese with bloomy rind, Camembert-type cheese",5.884
Sole,20.86
Soy drink,0.383
Soy oil,8.057
Soybean,0.58
Soybeans Oil,5.623
Soybeans Tofu,2.601
Soymilk,0.643
Sparkling fruit wine,1.144
Spinach,0.54
"Spiny scorpionfish, raw",10.932
"Spring vegetables, frozen, raw (French beans, carrots, potatoes, green peas, onions)",0.64
Strawberries,0.906714286
"Sugar, brown",1.047
"Sugar, white",0.739
Sunflower oil,3.913
Sunflower seed,1.908
"Surmullet or red mullet, fillet with skin, frozen, raw (from Thailand or Senegal)",4.581
"Surmullet or red mullet, raw",6.751
Swedes/rutabage,0.29
"Sweet Chilli Sauce, Glass Jar with Aluminium Lid",2.553
"Sweet potato, raw",0.294
"Sweet Potatoes, unpackaged",0.207
Tangerines/mandarins,0.51
"Toasted bread, home-made",0.847
"Tofu, PE Tray with PE Film",1.6375
"Tomato coulis, canned (tomato puree semi-reduced 11%)",0.599
Tomato Ketchup,4.09
Tomato paste,2.57075
"Tomato pulp, canned",0.748
"Tomato puree, canned",0.599
"Tomato Puree, LDPE Squeeze Tube with PP Lid",8.586
"Tomato, cherry, raw",0.37
"Tomato, dried, oil",6.309
"Tomato, green, raw",0.484
"Tomato, peeled, canned, drained",0.959
Tomatoes,1.5425
"Tomatoes - bottled, passate/puree",2.037
"Tomatoes - canned, in juice",1.79
Tomme cheese,5.462
"Tongue, beef, raw",26.773
"Tongue, pork, raw",1.862
"Tonguesole, raw",6.751
"Tripe, beef, raw",33.467
Trout,5.820333333
"Tub gurnard, raw",10.932
Tuna,4.097333333
Turbot,11.8545
Turkey,8.995
"Turkey egg, raw",2.03
"Uncured soft cheese, spreadable",5.462
"Vacherin cheese or Mont d'or cheese, from cow's milk",5.462
"Valen‡ay cheese, from goat's milk",6.665
Walnuts,1.62
"Water, mineral, carbonated ou non-carbonated, CAROLA",0.267
Watermelons,0.32
Wheat,0.51
"Wheat bulgur, raw",0.842
"Wheat Flour, LDPE Bag",0.879
"Wheat, whole, raw",0.707
White chocolate bar,13.22466667
Whiting,2.66
"Whiting, raw",10.932
"Wild rice, raw",2.132
Wine Grapes (Wine),1.546
"Wine, red",1.109
"Wine, rose",1.073
"Wine, white",1.109
"Wine, white, sparkling",1.109
"Yam or Indian potato, peeled, raw",0.588
Yoghurt,1.4695
Zucchini/button squash,1.095
